country-year,Sum of  gdp_for_year ($) 
Kuwait2011,1848330434784
Israel2006,1847602995732
Greece2002,1845971364204
South Africa1997,1831033854168
Thailand2003,1827367842528
Norway1995,1824328829400
Belgium1987,1802328932256
Thailand1997,1802163223788
Philippines2007,1792319016720
Kazakhstan2010,1776568178892
Singapore2006,1773566618412
South Africa1996,1771295792340
Kuwait2008,1768749999996
Thailand1994,1760201988072
New Zealand2010,1759005978456
Colombia2005,1758795178044
Republic of Korea1987,1753600058352
Greece1996,1750339353912
Greece1998,1733138074020
Greece1997,1717891200300
Ukraine2007,1712628118812
Greece1999,1710488747496
Israel2005,1709555106888
Poland1995,1705647835056
Netherlands1985,1704119067672
Finland1990,1698211786656
Argentina1990,1696228424580
Hungary2011,1689384775308
Mexico1987,1683160644324
Hungary2014,1681417685460
Hungary2007,1678209532644
Finland2002,1674635798988
South Africa1998,1653292332180
New Zealand2007,1647793047696
Greece1995,1642540394760
South Africa1999,1639583599308
South Africa2000,1636342257696
Czech Republic2005,1635368278692
Greece2001,1634296241616
Ukraine2010,1632157870860
Israel2004,1625340398388
Finland1999,1622710419780
Hungary2013,1622588453028
Thailand2002,1611610215060
Portugal2002,1610744370408
Finland1995,1610392156860
Finland1998,1607236315092
Ukraine2014,1602040936512
Kazakhstan2008,1601299346964
Austria1988,1600072764960
New Zealand2008,1599356153796
Austria1989,1597269671136
Israel2000,1588071735408
Finland1996,1585192855296
Hungary2010,1571071664268
Norway1992,1570056480816
Israel2001,1568473774452
Hungary2009,1567127527344
Greece2000,1561606149252
Mexico1986,1553291925468
Finland2001,1551001342284
Ireland2002,1535344551096
Finland1991,1534397882664
Hungary2012,1534279765296
Argentina2003,1531043681904
Portugal1999,1529586545916
Singapore2005,1529012256672
Norway1994,1525577533440
Qatar2016,1524519230770
Israel2003,1522379602908
Finland1997,1521997480248
Thailand1999,1520027185920
Thailand2000,1516707701976
Argentina1988,1514481806352
Finland2000,1506478717524
Qatar2010,1501467676152
Austria1987,1490021314320
Portugal1998,1487780837040
Romania2006,1482396440016
Chile2005,1475577744552
Hungary2015,1474548504024
Portugal1996,1471557754092
Philippines2006,1466528595720
Norway1991,1462469573796
South Africa2001,1459209819720
Portugal2001,1458550571808
New Zealand2009,1456063464300
Israel2002,1452832537800
Belgium1986,1447934644032
Norway1993,1446948873012
Norway1990,1437500199696
Czech Republic2004,1429946069616
Finland1989,1428776499936
Portugal2000,1420301879496
Portugal1995,1417603608864
Ukraine2009,1406733237504
Israel1999,1406279042544
Colombia2004,1404898365864
Portugal1997,1404554387652
Greece1994,1399221625284
Greece1992,1394696076516
Israel1998,1391750766564
South Africa2002,1388977321356
Republic of Korea1986,1386445515912
Kuwait2010,1385028611304
Kazakhstan2009,1383703933716
Hungary2006,1383542392704
Qatar2008,1383240659340
Israel1997,1376698344408
New Zealand2005,1376624656764
Kuwait2007,1375693173816
Singapore2004,1370262690804
Thailand1998,1364108473524
Hungary2005,1356424335804
Finland1992,1351505176536
New Zealand2006,1339306140972
Thailand1992,1337434432536
Argentina1987,1333274296296
Argentina1986,1331213313156
Poland1994,1329640698204
Israel1996,1319487863520
Ireland2001,1309602147648
Finland1988,1309236673776
Greece1993,1305708706308
Ukraine2006,1293036831684
Portugal1992,1291232268492
Colombia1997,1279914099252
Kuwait2009,1270799166084
Greece1991,1261718788560
Kazakhstan2007,1258198641912
Hungary2016,1258166404210
Hungary2004,1248799314216
New Zealand2004,1246854453780
Finland1994,1239858850308
Puerto Rico2015,1237722000000
Norway1989,1231605474696
Puerto Rico2013,1229400000000
Puerto Rico2014,1229349600000
Norway1988,1222803130272
Ecuador2014,1220715972000
Puerto Rico2012,1218777600000
Kuwait2006,1218607856652
Slovakia2014,1211378843292
Puerto Rico2011,1204220040000
Israel1995,1204118634084
Slovakia2008,1203895526580
Republic of Korea1985,1203277166040
Singapore1997,1201967941812
Colombia2000,1198638927972
Ireland2000,1198242343836
Portugal1994,1196381439132
Romania2005,1196370800016
Czech Republic2003,1195525683288
Ecuador2015,1191484572000
Chile2004,1190524714296
Austria1986,1188433982520
Ireland1999,1184302194756
Slovakia2013,1181740191780
Colombia1998,1181324879292
Puerto Rico2010,1180575216000
Thailand1991,1178816348664
Colombia2001,1178442553872
Colombia2002,1175200703712
Greece1990,1174693091148
Qatar2009,1173580219776
Argentina2002,1172688051024
Colombia1996,1165921311336
Singapore2003,1164016530828
Singapore1996,1156845106380
Puerto Rico2009,1156627656000
Poland1993,1152547740312
Singapore2000,1150007192580
Ecuador2013,1141555908000
Portugal1993,1140229243236
Colombia2003,1136215009956
Poland1992,1132044608316
Norway1987,1130760667908
Puerto Rico2008,1123671792000
Slovakia2012,1120967915472
Colombia1995,1110087352596
Singapore2002,1103294314752
Finland1987,1099705126476
Ukraine2015,1092371513460
Ireland1998,1080984411792
Puerto Rico2007,1074289579200
Slovakia2010,1074012154992
Singapore2001,1071434503548
Finland1993,1071069012180
Portugal1991,1070908595532
Slovakia2009,1067347502088
Argentina1985,1061000026800
New Zealand2003,1059010626600
Ecuador2012,1055094528000
Singapore1995,1054680118524
Puerto Rico2006,1047313972800
Cuba2015,1045593600000
Belgium1985,1040760465516
Israel1994,1035685631964
Slovakia2007,1035650949900
Singapore1999,1035397522128
Colombia1999,1034233904220
Ukraine2005,1033704216828
Singapore1998,1028491634796
Poland1991,1026011231220
Thailand1990,1024116767592
Hungary2003,1023897262092
Chile1997,1019428331064
Puerto Rico2005,1006974255600
Philippines2003,1006898479776
Philippines1999,995941749504
Ireland1997,993913753584
Ukraine1989,992509933188
Philippines1997,988131126852
Czech Republic2002,982929263928
Colombia1994,980442010152
Chile1998,978929162172
Ukraine1990,977483024148
Philippines2002,976291267704
Oman2014,972920676204
Philippines2000,972315603732
Kazakhstan2006,972046614540
Kuwait2005,969575342460
Cuba2014,967873200000
Puerto Rico2004,963867756000
Qatar2007,956545054944
Ecuador2011,951319968000
Greece1989,950028523704
Belarus2014,945766079808
Portugal1990,944659290108
Norway1986,944319039312
Chile1996,936474866664
Chile2000,934331185824
Ukraine1991,929574733800
Cuba2013,925776000000
Argentina1989,919642776432
Philippines2001,915144869616
Greece1988,915135340860
Romania2004,914597297544
Israel1993,911455696260
Ireland1996,910567590720
Chile2003,907721518080
Israel1992,906910835184
Belarus2013,906335810808
Chile1999,902085533964
Puerto Rico2003,897928800000
Ukraine1988,896442214836
Ukraine1992,887306823960
Singapore1994,885333507924
Chile1995,881364759828
Cuba2012,877692000000
Philippines1998,866484345204
Puerto Rico2002,859482000000
Chile2001,851759087520
Slovakia2006,847160752728
Croatia2008,845777417388
New Zealand1996,841690023588
Chile2002,836841737220
Ecuador2010,834664404000
Austria1985,832641293700
Ireland1995,830671515156
Puerto Rico2001,830500800000
Cuba2011,827880000000
Hungary2002,812602646436
Israel1991,810362642628
Czech Republic2001,810283707144
Czech Republic1996,803829185268
New Zealand2002,799532751732
Czech Republic1998,797884465260
Luxembourg2014,795928130268
New Zealand1997,792894156216
Poland1990,791732988444
Greece1987,787833013584
Ukraine1993,787782718836
Ukraine2004,778596728712
Czech Republic1999,778409798316
Cuba2010,771936000000
Ukraine1987,769052328456
New Zealand1995,767016471840
Guatemala2015,765211166328
Uzbekistan2014,756804926148
Croatia2009,752437716684
Slovakia2005,752370481284
Ecuador2009,750236232000
Croatia2011,748500533316
Cuba2009,744960000000
Czech Republic1997,741505934016
Ecuador2008,741151620000
Belarus2011,741093467340
Luxembourg2013,740872226544
Puerto Rico2000,740421600000
Czech Republic2000,739793913804
Qatar2006,730585714284
Cuba2008,729675600000
Belarus2008,729161797752
Singapore1993,727734868176
Portugal1989,727200679908
Croatia2007,721118672508
Luxembourg2011,720055562808
Romania2003,718413614460
Croatia2010,717954892692
Czech Republic1995,717308364732
Kuwait2004,713281303020
Israel1990,707843975004
New Zealand1999,705147127512
